WS01;A01;card;2199;;4908366099900433;2021.01.01
WS01;A03;card;987;;5437588499034201;2021.01.21
WS02;A01;card;12000;;377947047949679;2021.01.13
WS02;A03;card;2900;6757619297057019;;2021.01.21
WS01;A02;card;20234;;377947047949679;2021.01.11
WS01;A03;card;198;;5437588499034201;2021.01.182
WS01;A04;transfer;2199;1179400820544448;;2021.01.01
WS01;A04;transfer;987;1179400820544448;;2021.01.10
WS02;A04;card;22000;;6757619297057019;2021.01.22
WS02;A02;card;2904;;4908366099282204;2021.01.1
WS01;A01;card;42100;;4908366099900433;2021.01.11
WS02;A03;card;240;;4908366099147860;2021.01.18
